Job Title,Required Skills,Programming Languages Required,Experience Level,Location,Company,Salary
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
AI Engineer,"Python, LangChain, OpenAI API, LLMs, Flask",Python,1-3 Years,Hyderabad,Infosys,?8-12 LPA
Data Analyst,"Excel, SQL, Power BI, Tableau",SQL,Fresher,Pune,Deloitte,?5-7 LPA
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
AI Engineer,"Python, LangChain, OpenAI API, LLMs, Flask",Python,1-3 Years,Hyderabad,Infosys,?8-12 LPA
Data Analyst,"Excel, SQL, Power BI, Tableau",SQL,Fresher,Pune,Deloitte,?5-7 LPA
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
AI Engineer,"Python, LangChain, OpenAI API, LLMs, Flask",Python,1-3 Years,Hyderabad,Infosys,?8-12 LPA
Data Analyst,"Excel, SQL, Power BI, Tableau",SQL,Fresher,Pune,Deloitte,?5-7 LPA
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
AI Engineer,"Python, LangChain, OpenAI API, LLMs, Flask",Python,1-3 Years,Hyderabad,Infosys,?8-12 LPA
Data Analyst,"Excel, SQL, Power BI, Tableau",SQL,Fresher,Pune,Deloitte,?5-7 LPA
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
AI Engineer,"Python, LangChain, OpenAI API, LLMs, Flask",Python,1-3 Years,Hyderabad,Infosys,?8-12 LPA
Data Analyst,"Excel, SQL, Power BI, Tableau",SQL,Fresher,Pune,Deloitte,?5-7 LPA
Data Scientist,"Python, SQL, Pandas, NumPy, Scikit-learn, Machine Learning",Python,Fresher,Bangalore,TCS,?6-8 LPA
